target_id,control.1,control.2,control.3,abf2.1,abf2.2,abf2.3,abf3.1,abf3.2,abf3.3
AT4G28405.1,10.7361,9.97526,13.6378,21.6165,6.99134,16.7473,16.1817,7.2428,12.6415
AT5G43000.1,0.135977,0.0,0.123377,0.0,0.14758,0.0,0.0,0.0,0.133425
AT5G15920.1,15.2429,13.6124,12.9457,11.3241,12.4114,13.3631,10.3194,15.201,17.9325
AT5G23570.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT5G23570.4,0.0,2.24729,0.0,1.72114,0.0,1.40715,0.0172434,0.0,0.21459
AT5G23570.3,0.0,0.0,0.172953,0.0,0.236274,0.0,0.0,0.0,0.0
AT5G23570.1,2.7608,1.16786e-07,2.7806,7.80226e-08,2.22884,0.904792,2.08572,2.2896,2.47843
AT4G05520.1,0.965246,0.549675,1.245,0.0,0.0,0.296863,1.00313,0.0,0.638995
AT4G05520.2,0.0255806,0.0,0.0,2.54858,1.07515,0.0,0.0,0.618787,0.171026
AT1G75720.3,1.01398,0.0,1.2267,1.70132,0.0,0.494283,0.0,0.570042,0.829123
AT1G75720.1,0.0,2.00174,0.0,0.0,0.526108,0.0,0.0,0.0,0.0
AT1G75720.2,0.0,0.0,0.0,0.0,0.0,0.0,0.740088,0.0,0.0
AT3G03630.1,2.47754,1.69525,2.09114,1.04408,2.62643,2.97719,2.44243,2.65611,3.27909
AT1G77920.1,1.81011,0.961046,0.938504,0.572713,1.12261,0.857163,0.925651,1.86078,1.72539
AT5G53050.3,103.433,82.0685,94.7689,64.5687,84.1231,75.9148,96.6413,97.6388,62.4126
AT5G53050.5,0.0,0.0,0.0,0.0,0.0,0.0,0.000184649,0.0,0.0
AT5G53050.1,21.8512,5.37648,4.1319,7.50746,5.2045e-07,16.7024,7.45261,5.08764,12.4218
AT5G53050.2,10.3314,34.2774,26.2797,49.9063,42.3976,22.8121,16.7967,13.7352,28.4874
AT5G53050.6,43.6783,42.3547,41.4946,48.8502,44.0474,52.859,9.54173,28.1824,35.2187
AT5G53050.4,29.7832,20.7169,23.2172,17.6482,20.2444,31.6579,29.6017,18.943,24.4955
AT2G25305.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.499383,0.0
AT1G73010.1,836.429,631.399,754.587,811.561,834.972,795.189,839.581,734.352,910.978
AT2G34810.1,0.0956547,0.0370317,0.173583,0.0,0.155726,0.0932576,0.0,0.107551,0.0
AT5G33290.1,7.69433,7.65971,8.34139,6.84065,6.8868,4.8224,7.4835,8.25803,8.72655
AT2G44160.1,5.62186,5.44825,7.11792,3.25474,4.85054,5.93317,5.46407,4.49042,5.4583
AT4G10730.2,3.89943,6.04195,2.41744,0.0,2.46536,5.89179,0.499307,4.61459,4.34709
AT4G10730.1,110.088,127.083,108.97,155.464,151.554,166.818,145.721,184.879,157.683
AT1G72460.1,0.0,0.0,0.0728385,0.0,0.0,0.0,0.037811,0.0902609,0.0787705
AT4G16690.1,0.210942,0.163328,0.0637989,0.0,0.0763143,0.137104,0.066237,0.0790591,0.137989
AT2G03770.1,2.81019,1.82492,2.46754,2.28151,4.03386,1.76759,3.07421,1.63081,3.11325
AT5G23100.1,0.729667,0.835166,0.748412,0.0,0.550909,0.309297,0.657472,0.784745,0.622586
AT1G55917.1,0.0,0.0,0.0,0.0,0.0,6.93043,0.0,0.0,0.0
AT2G07687.1,0.439127,0.870087,1.33795,0.779539,4.14574,1.70112,2.61289,1.04224,3.11485
AT1G50820.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G50820.2,0.0408244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3G11240.5,0.0,2.10044,2.17026,1.77362,0.0,0.0,0.79726,1.12464,0.376276
AT3G11240.1,8.50819,6.77765,8.41513,7.13615,9.40221,9.62997,5.04254,6.62976,8.7228
AT3G11240.2,0.291877,0.469841,0.38444,0.0,0.596999,0.0,0.293895,0.793994,0.333933
AT3G11240.3,0.260702,0.558824,7.1863e-10,0.0,2.85452e-06,0.0,0.718136,0.0,0.0330121
AT3G11240.4,0.104826,5.36616e-09,0.525804,0.0,0.37482,0.0,1.42977,0.274818,0.376597
AT5G03520.2,30.9217,31.2047,17.3448,36.0558,35.2138,38.852,59.5247,62.692,45.9542
AT5G03520.1,48.4043,32.4774,51.1981,53.2867,69.9208,45.6771,75.0183,55.5839,62.7173
AT4G36430.1,209.2,331.174,278.978,152.838,123.498,187.947,188.326,246.838,230.754
AT4G10260.1,0.0488855,0.0757019,0.177423,0.0,0.0,0.190642,0.0921016,0.329792,0.287808
AT3G59200.2,1.57811,2.9501,1.48113,0.581784,0.934255,0.0,2.59744,1.86015,0.0
AT3G59200.1,0.716499,0.0,1.31923,1.89228,0.450292,1.34318,0.0,0.0,1.61182
AT5G11360.3,0.0,2.95092,3.3731,17.9658,0.00105689,2.42397,0.0,6.05443,2.6304
AT5G11360.1,12.3784,8.99526,11.2958,0.229327,9.27038,4.52523,10.236,4.35416,10.0947
AT5G11360.2,0.0,0.0,0.0,0.0,0.362429,1.69323,0.0,0.0,0.0
AT3G22723.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT5G50290.1,0.420881,0.139662,0.0545546,0.0605298,0.130513,0.175857,0.113279,0.0676036,0.117995
AT5G44785.1,2.13264,1.66869,2.53295,0.940624,2.18489,2.49805,4.32566,3.15704,1.65448
AT5G44785.2,4.57725,5.16638,6.14679,7.98805,5.84455,4.03891,4.77917,3.80602,6.97893
AT4G20690.1,12.1699,6.76118,13.6028,18.0776,11.3176,8.35351,13.3997,15.179,12.9685
AT3G06920.1,4.83846,3.46145,3.61184,2.4201,6.96414,5.90607,5.10507,3.44711,6.06302
AT3G06920.3,4.75812,4.07454,5.90479,7.47329,2.94286,4.74953,2.59972,6.25998,4.53694
AT3G06920.2,1.62137,1.314,1.25174,0.0,0.833799,0.0,2.20794,0.0,0.470875
AT3G17740.1,18.0633,13.2753,16.877,15.2406,16.4729,15.1265,17.2491,16.9105,18.4349
AT1G22030.1,0.448393,0.434104,0.508578,0.0,0.305069,0.546521,0.475433,0.378139,0.550094
AT3G43432.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3G56420.3,19.0367,3.13121,13.8799,9.24007,17.894,14.0854,2.52156,12.231,14.0227
AT3G56420.2,9.68698e-07,12.2704,1.59656e-05,3.27869e-05,4.73734e-05,8.29747e-05,7.56577,2.49133e-09,0.0
AT3G56420.1,0.36482,0.0756233,2.47917,14.6323,2.09958,2.53712,7.82001,2.09162,0.0
AT1G12580.1,157.348,162.821,169.389,200.422,211.438,227.668,215.135,260.446,266.892
AT3G50380.1,0.0,9.96501e-05,6.23825e-06,0.0,0.0,0.0,0.314221,2.19058e-10,1.02662e-09
